#	COMANDOS					1					2					3					4					5					6					7					8					9					10					11					12					13			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3		12:*	12:2	12:1	12:3		13:*	13:2	13:1	13:3
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
	wait				2																																																																
	event	fuente_remolino_end	4	terracota																																																																	
	event	fuente_remolino_end	1	terracota																																																																	
#	11																																																																				
	manual_wave	mud_spawner_w12_2																																																																			
																																																																					
																																																																					
					2																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
																																																																					
																																																																					
#	10																																																																				
	manual_wave	water_spawner_w14_1																																																																			
					0																																															water_spirit_spawnless		water_spirit_spawnless								water_spirit_spawnless		water_spirit_spawnless					
					1.5																																																water_spirit_spawnless																
					1.5																																																	water_spirit_spawnless										water_spirit_spawnless					
					1.5																																															water_spirit_spawnless										water_spirit_spawnless							
					1.5																																																											water_spirit_spawnless					
					2.5																																																water_spirit_spawnless									water_spirit_spawnless							
					1																																																											water_spirit_spawnless					
					1.5																																																	water_spirit_spawnless								water_spirit_spawnless							
					1.5																																																water_spirit_spawnless																
					1.5																																															water_spirit_spawnless		water_spirit_spawnless								water_spirit_spawnless		water_spirit_spawnless					
																																																																					
#	14																																																																				
	manual_wave	water_spawner_w14_2																																																																			
					1.5																																										water_spirit_spawnless					water_spirit_spawnless																	
					1.5																																										water_spirit_spawnless					water_spirit_spawnless																	
					1.5																																																	water_spirit_spawnless															
					1.5																																												water_spirit_spawnless																				
					1.5																																												water_spirit_spawnless																				
					3																																															water_spirit_spawnless																	
					1.5																																										water_spirit_spawnless							water_spirit_spawnless															
					1.5																																										water_spirit_spawnless																						
					1.5																																												water_spirit_spawnless																				
					1.5																																										water_spirit_spawnless		water_spirit_spawnless			water_spirit_spawnless		water_spirit_spawnless															
																																																																					
#	15																																																																				
	manual_wave	water_spawner_w14_3																																																																			
					0																																										water_spirit_spawnless		water_spirit_spawnless													water_spirit_spawnless		water_spirit_spawnless					
					1																																											water_spirit_spawnless														water_spirit_spawnless							
					1.5																																										water_spirit_spawnless		water_spirit_spawnless			water_spirit_spawnless		water_spirit_spawnless										water_spirit_spawnless					
					2																																																	water_spirit_spawnless								water_spirit_spawnless							
					1.5																																															water_spirit_spawnless																	
					2.5																																																	water_spirit_spawnless										water_spirit_spawnless					
					1.5																																															water_spirit_spawnless		water_spirit_spawnless								water_spirit_spawnless							
					2																																																											water_spirit_spawnless					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	15																																																																				
	manual_wave	mud_spawner_w15_1																																																																			
	event	fuente_remolino_start	5	terracota																																																																	
	event	fuente_remolino_start	4	terracota																																																																	
	event	fuente_remolino_start	1	terracota																																																																	
					3																																											terracota				terracota		terracota								terracota		terracota					
					0.75																																										terracota		terracota				terracota										terracota						
					1.25																																											terracota				terracota		terracota								terracota		terracota					
					0.75																																										terracota		terracota				terracota										terracota						
					1.25																																											terracota				terracota		terracota								terracota		terracota					
					0.75																																										terracota		terracota				terracota										terracota						
					1.25																																											terracota				terracota		terracota								terracota		terracota					
					0.75																																										terracota		terracota				terracota										terracota						
					1.25																																											terracota														terracota		terracota					
	event	fuente_remolino_end	5	terracota																																																																	
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
																																																																					
	wait				1.25																																																																
																																																																					
	event	fuente_remolino_end	4	terracota																																																																	
	event	fuente_remolino_end	1	terracota																																																																	
#	11																																																																				
	manual_wave	mud_spawner_w15_2																																																																			
	event	fuente_remolino_start	1	terracota																																																																	
	event	fuente_remolino_start	4	terracota																																																																	
					3																																										terracota		terracota													terracota		terracota					
					0.75																																											terracota															terracota						
					1.25																																												terracota													terracota							
					0.75																																										terracota																terracota						
					1.25																																											terracota														terracota							
					0.75																																																										terracota						
					0.75																																												terracota															terracota					
	wait				1.25																																																																
	event	fuente_remolino_end	1	terracota																																																											terracota						
	event	fuente_remolino_end	4	terracota																																																																	
#	11																																																																				
