#	COMANDOS					1	izq > izq				2	arriba > izq				3	arriba > der				4	med > der				5	abajo > der				6	abajo > abajo der				7	abajo > abajo izq				8	SPWN 1				9	SPWN 2				10	TO P9				11	SPWN 3				12	TO P11				13	SPWN 4				14	SPWN 5				15	TO P14				16	TO PATH 6				17	SPWN 6				18					19	med > der				20	med > der				21	med > der				22	med > der		
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3		12:*	12:2	12:1	12:3		13:*	13:2	13:1	13:3		14:*	14:2	14:1	14:3		15:*	15:2	15:1	15:3		16:*	16:2	16:1	16:3		17:*	17:2	17:1	17:3		18:*	18:2	18:1	18:3		19:*	19:2	19:1	19:3		20:*	20:2	20:1	20:3		21:*	21:2	21:1	21:3		22:*	22:2	22:1	22:3
					3									basic_storm																																																																																																				
					7								basic_storm																																																																																																					
					1.5									basic_storm																																																																																																				
					1.5							basic_storm																																																																																																						
																																																																																																																		
	manual_wave_repeat				-1																																																																																																													
#	64																																																																																																																	
																																																																																																																		
																																																																																																																		
#	WAVE Boss2																																																																																																																	
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm	miniboss_stage_39																																																																																											
#	cant.					0	0	0	32		0	1	0	0		0	65	0	3		2	0	0																																																																																											
#	gold	2099				0	0	0	224		0	90	0	0		0	975	0	150		60	0	600																																																																																											
#	Max. 90 segs																																																																																																																	
	manual_wave	BOSS2																																																																																																																
																																																																																																																		
					15												tanky_draconian																																																																																																	
					6.5														tanky_draconian																																																																																															
																																																																																																																		
					15								alfa_storm					alfa_storm																																																																																																
					10									basic_storm																																																																																																				
					3												basic_storm																																																																																																	
					7														basic_storm																																																																																															
					3							basic_storm																																																																																																						
					10																													basic_acid																																																																																
					3																											basic_acid																																																																																		
																																																																																																																		
					15													basic_storm										basic_lava																																																																																						
					2								basic_storm																																																																																																					
					1.5			basic_acid																																																																																																										
					3																								basic_lava																																																																																					
					1.5		basic_acid												basic_storm																																																																																															
					2								basic_storm																																																																																																					
#	76	ragnarok start																																																																																																																
					10			alfa_storm					alfa_acid														basic_lava																																																																																							
					1.5																								basic_lava																																																																																					
					1.5																						basic_lava																																																																																							
					1																								basic_lava																																																																																					
					5								basic_storm				basic_storm																																																																																																	
					1								basic_storm						basic_storm																																																																																															
					1							basic_storm						basic_storm																																																																																																
					2.5									basic_storm																																																																																																				
					1.2							basic_storm					basic_storm																																																																																																	
					1								basic_storm						basic_storm																																																																																															
					0.8												basic_storm		basic_storm																																																																																															
					0.5							basic_storm	basic_storm					basic_storm																																																																																																
#	27	real ragnarok																																																																																																																
					5			basic_acid	basic_acid			basic_storm						basic_storm	basic_storm									basic_lava																																																																																						
					0.4		basic_acid							basic_storm			basic_storm										basic_lava		basic_lava																																																																																					
					0.66				basic_acid								basic_storm		basic_storm										basic_lava																																																																																					
					0.5		basic_acid	basic_acid					basic_storm														basic_lava	basic_lava																																																																																						
					0.6			basic_acid				basic_storm						basic_storm	basic_storm									basic_lava	basic_lava																																																																																					
					0.4		basic_acid		basic_acid					basic_storm			basic_storm										basic_lava																																																																																							
					2.5				basic_acid					basic_storm														basic_lava	basic_lava																																																																																					
					0.7		basic_acid	basic_acid				basic_storm	basic_storm				basic_storm	basic_storm									basic_lava		basic_lava																																																																																					
					0.66			basic_acid	basic_acid				basic_storm						basic_storm								basic_lava		basic_lava																																																																																					
					0.8		basic_acid		basic_acid								basic_storm		basic_storm								basic_lava	basic_lava																																																																																						
					0.5		basic_acid	basic_acid				basic_storm	basic_storm					basic_storm										basic_lava	basic_lava																																																																																					
					0.6			basic_acid	basic_acid									basic_storm	basic_storm								basic_lava		basic_lava																																																																																					
					0.4		basic_acid		basic_acid			basic_storm		basic_storm			basic_storm											basic_lava																																																																																						
					0.66		basic_acid		basic_acid								basic_storm	basic_storm	basic_storm								basic_lava	basic_lava																																																																																						
					0.5		basic_acid	basic_acid				basic_storm	basic_storm																basic_lava																																																																																					
					0.6			basic_acid	basic_acid				basic_storm					basic_storm	basic_storm									basic_lava																																																																																						
					0.4		basic_acid		basic_acid					basic_storm			basic_storm		basic_storm								basic_lava		basic_lava																																																																																					
																																																																																																																		
	manual_wave_repeat				-1																																																																																																													
#	117.88																																																																																																																	
